평당분양가격,연도,월,지역명
6601.0,2015,6,전북
6243.0,2015,6,전남
6887.0,2015,6,경북
7715.0,2015,6,경남
7343.0,2015,6,제주
18152.0,2015,7,서울
9559.0,2015,7,부산
8542.0,2015,7,대구
10443.0,2015,7,인천
8089.0,2015,7,광주
8079.0,2015,7,대전
9190.0,2015,7,울산
10518.0,2015,7,경기
8669.0,2015,7,세종
7019.0,2015,7,강원
6601.0,2015,7,충북
6935.0,2015,7,충남
6750.0,2015,7,전북
6286.0,2015,7,전남
7035.0,2015,7,경북
7723.0,2015,7,경남
7343.0,2015,7,제주
18443.0,2015,8,서울
9581.0,2015,8,부산
8795.0,2015,8,대구
10449.0,2015,8,인천
8231.0,2015,8,광주
8079.0,2015,8,대전
9215.0,2015,8,울산
10573.0,2015,8,경기
8695.0,2015,8,세종
7008.0,2015,8,강원
6603.0,2015,8,충북
6942.0,2015,8,충남
6580.0,2015,8,전북
6289.0,2015,8,전남
7037.0,2015,8,경북
7665.0,2015,8,경남
7343.0,2015,8,제주
19275.3,2015,10,서울
10437.9,2015,10,인천
10355.4,2015,10,경기
10269.6,2015,10,부산
8850.6,2015,10,대구
7986.0,2015,10,광주
8098.2,2015,10,대전
10074.9,2015,10,울산
8718.6,2015,10,세종
7151.099999999999,2015,10,강원
6705.599999999999,2015,10,충북
6926.7,2015,10,충남
6778.2,2015,10,전북
6352.5,2015,10,전남
7088.4,2015,10,경북
7560.299999999999,2015,10,경남
7365.599999999999,2015,10,제주
19965.0,2015,11,서울
10507.2,2015,11,인천
10223.4,2015,11,경기
10332.3,2015,11,부산
9071.7,2015,11,대구
7999.2,2015,11,광주
8098.2,2015,11,대전
10041.9,2015,11,울산
8738.4,2015,11,세종
7164.299999999999,2015,11,강원
6613.2,2015,11,충북
6930.0,2015,11,충남
6788.099999999999,2015,11,전북
6299.7,2015,11,전남
7227.0,2015,11,경북
7583.4,2015,11,경남
7365.599999999999,2015,11,제주
19935.3,2015,12,서울
10507.2,2015,12,인천
10553.4,2015,12,경기
10319.1,2015,12,부산
9774.6,2015,12,대구
8170.799999999999,2015,12,광주
8098.2,2015,12,대전
10041.9,2015,12,울산
8794.5,2015,12,세종
7164.299999999999,2015,12,강원
6616.5,2015,12,충북
7487.7,2015,12,충남
6543.9,2015,12,전북
6299.7,2015,12,전남
7197.299999999999,2015,12,경북
7613.099999999999,2015,12,경남
7484.4,2015,12,제주
20156.4,2016,1,서울
10530.3,2016,1,인천
10553.4,2016,1,경기
10401.6,2016,1,부산
10183.8,2016,1,대구
8477.699999999999,2016,1,광주
8098.2,2016,1,대전
10051.8,2016,1,울산
8794.5,2016,1,세종
7170.9,2016,1,강원
6626.4,2016,1,충북
7491.0,2016,1,충남
6534.0,2016,1,전북
6299.7,2016,1,전남
7197.299999999999,2016,1,경북
7679.099999999999,2016,1,경남
7484.4,2016,1,제주
20166.3,2016,2,서울
10533.6,2016,2,인천
10622.7,2016,2,경기
10408.2,2016,2,부산
10111.2,2016,2,대구
8477.699999999999,2016,2,광주
8098.2,2016,2,대전
10051.8,2016,2,울산
8794.5,2016,2,세종
7170.9,2016,2,강원
6626.4,2016,2,충북
7497.599999999999,2016,2,충남
6534.0,2016,2,전북
6345.9,2016,2,전남
7190.7,2016,2,경북
7781.4,2016,2,경남
7484.4,2016,2,제주
20370.9,2016,3,서울
10527.0,2016,3,인천
10609.5,2016,3,경기
10487.4,2016,3,부산
10292.7,2016,3,대구
8547.0,2016,3,광주
8098.2,2016,3,대전
10117.8,2016,3,울산
8811.0,2016,3,세종
7240.2,2016,3,강원
6534.0,2016,3,충북
6979.5,2016,3,충남
6438.299999999999,2016,3,전북
6339.299999999999,2016,3,전남
7190.7,2016,3,경북
7863.9,2016,3,경남
7636.2,2016,3,제주
20595.3,2016,4,서울
10685.4,2016,4,인천
10556.7,2016,4,경기
10457.7,2016,4,부산
10335.6,2016,4,대구
8910.0,2016,4,광주
8081.7,2016,4,대전
10137.6,2016,4,울산
8844.0,2016,4,세종
7062.0,2016,4,강원
6494.4,2016,4,충북
7157.7,2016,4,충남
6299.7,2016,4,전북
6352.5,2016,4,전남
7184.099999999999,2016,4,경북
7890.299999999999,2016,4,경남
8972.699999999999,2016,4,제주
20671.2,2016,5,서울
10490.7,2016,5,인천
11361.9,2016,5,경기
10388.4,2016,5,부산
10335.6,2016,5,대구
8982.6,2016,5,광주
8134.5,2016,5,대전
10154.1,2016,5,울산
8844.0,2016,5,세종
6986.099999999999,2016,5,강원
6534.0,2016,5,충북
7147.799999999999,2016,5,충남
6418.5,2016,5,전북
6359.099999999999,2016,5,전남
7180.799999999999,2016,5,경북
7857.299999999999,2016,5,경남
8880.3,2016,5,제주
20486.4,2016,6,서울
10573.2,2016,6,인천
11688.6,2016,6,경기
10395.0,2016,6,부산
10342.2,2016,6,대구
9032.1,2016,6,광주
8454.6,2016,6,대전
10127.7,2016,6,울산
8853.9,2016,6,세종
6943.2,2016,6,강원
6755.099999999999,2016,6,충북
7253.4,2016,6,충남
6372.299999999999,2016,6,전북
6494.4,2016,6,전남
7385.4,2016,6,경북
7883.7,2016,6,경남
9329.1,2016,6,제주
20638.2,2016,7,서울
10632.6,2016,7,인천
11652.3,2016,7,경기
10421.4,2016,7,부산
10329.0,2016,7,대구
9048.6,2016,7,광주
8454.6,2016,7,대전
10127.7,2016,7,울산
8867.1,2016,7,세종
6933.299999999999,2016,7,강원
6847.5,2016,7,충북
7253.4,2016,7,충남
6365.7,2016,7,전북
6494.4,2016,7,전남
7418.4,2016,7,경북
7837.5,2016,7,경남
9329.1,2016,7,제주
20740.5,2016,8,서울
10675.5,2016,8,인천
11751.3,2016,8,경기
10510.5,2016,8,부산
10385.1,2016,8,대구
8995.8,2016,8,광주
8454.6,2016,8,대전
9820.8,2016,8,울산
8890.199999999999,2016,8,세종
6923.4,2016,8,강원
7009.2,2016,8,충북
7375.5,2016,8,충남
6365.7,2016,8,전북
6487.799999999999,2016,8,전남
7385.4,2016,8,경북
7867.2,2016,8,경남
9497.4,2016,8,제주
20733.9,2016,9,서울
10454.4,2016,9,인천
11088.0,2016,9,경기
10560.0,2016,9,부산
10385.1,2016,9,대구
8979.3,2016,9,광주
8306.1,2016,9,대전
9820.8,2016,9,울산
8873.699999999999,2016,9,세종
6930.0,2016,9,강원
7012.5,2016,9,충북
7378.799999999999,2016,9,충남
6352.5,2016,9,전북
6507.599999999999,2016,9,전남
7428.299999999999,2016,9,경북
7890.299999999999,2016,9,경남
10173.9,2016,9,제주
21120.0,2016,10,서울
10553.4,2016,10,인천
11322.3,2016,10,경기
10220.1,2016,10,부산
10385.1,2016,10,대구
8992.5,2016,10,광주
10117.8,2016,10,대전
10576.5,2016,10,울산
8910.0,2016,10,세종
7052.099999999999,2016,10,강원
6923.4,2016,10,충북
7415.099999999999,2016,10,충남
6359.099999999999,2016,10,전북
6540.599999999999,2016,10,전남
7570.2,2016,10,경북
7959.599999999999,2016,10,경남
10173.9,2016,10,제주
21021.0,2016,11,서울
10398.3,2016,11,인천
11701.8,2016,11,경기
10173.9,2016,11,부산
10259.7,2016,11,대구
9157.5,2016,11,광주
8860.5,2016,11,대전
10758.0,2016,11,울산
8916.6,2016,11,세종
6834.299999999999,2016,11,강원
7012.5,2016,11,충북
7514.099999999999,2016,11,충남
6362.4,2016,11,전북
6784.799999999999,2016,11,전남
7570.2,2016,11,경북
7784.7,2016,11,경남
10253.1,2016,11,제주
21261.9,2016,12,서울
10335.6,2016,12,인천
11731.5,2016,12,경기
10734.9,2016,12,부산
10375.2,2016,12,대구
9183.9,2016,12,광주
8860.5,2016,12,대전
10758.0,2016,12,울산
8926.5,2016,12,세종
6887.099999999999,2016,12,강원
6867.299999999999,2016,12,충북
7504.2,2016,12,충남
6613.2,2016,12,전북
6857.4,2016,12,전남
7626.299999999999,2016,12,경북
7880.4,2016,12,경남
10335.6,2016,12,제주
21285.0,2017,1,서울
10335.6,2017,1,인천
11728.2,2017,1,경기
10705.2,2017,1,부산
10299.3,2017,1,대구
9167.4,2017,1,광주
8860.5,2017,1,대전
10758.0,2017,1,울산
8926.5,2017,1,세종
6880.5,2017,1,강원
6946.5,2017,1,충북
7375.5,2017,1,충남
6619.799999999999,2017,1,전북
6857.4,2017,1,전남
7629.599999999999,2017,1,경북
7887.0,2017,1,경남
10309.2,2017,1,제주
21331.2,2017,2,서울
10451.1,2017,2,인천
11903.1,2017,2,경기
10701.9,2017,2,부산
10421.4,2017,2,대구
9167.4,2017,2,광주
8979.3,2017,2,대전
10767.9,2017,2,울산
8926.5,2017,2,세종
6897.0,2017,2,강원
6745.2,2017,2,충북
7378.799999999999,2017,2,충남
6629.7,2017,2,전북
6906.9,2017,2,전남
7613.099999999999,2017,2,경북
7867.2,2017,2,경남
10342.2,2017,2,제주
21021.0,2017,3,서울
10490.7,2017,3,인천
11985.6,2017,3,경기
10857.0,2017,3,부산
10560.0,2017,3,대구
9183.9,2017,3,광주
8979.3,2017,3,대전
10767.9,2017,3,울산
8926.5,2017,3,세종
6824.4,2017,3,강원
6520.799999999999,2017,3,충북
7382.099999999999,2017,3,충남
6745.2,2017,3,전북
6897.0,2017,3,전남
7560.299999999999,2017,3,경북
7943.099999999999,2017,3,경남
10220.1,2017,3,제주
21007.8,2017,4,서울
10490.7,2017,4,인천
11893.2,2017,4,경기
10853.7,2017,4,부산
10490.7,2017,4,대구
9418.2,2017,4,광주
9038.7,2017,4,대전
11807.4,2017,4,울산
9005.699999999999,2017,4,세종
6824.4,2017,4,강원
6732.0,2017,4,충북
7329.299999999999,2017,4,충남
6946.5,2017,4,전북
6949.799999999999,2017,4,전남
7649.4,2017,4,경북
7923.299999999999,2017,4,경남
10965.9,2017,4,제주
21120.0,2017,5,서울
10860.3,2017,5,인천
11464.2,2017,5,경기
11711.7,2017,5,부산
10490.7,2017,5,대구
9537.0,2017,5,광주
9038.7,2017,5,대전
11807.4,2017,5,울산
9005.699999999999,2017,5,세종
6877.2,2017,5,강원
6765.0,2017,5,충북
7332.599999999999,2017,5,충남
7029.0,2017,5,전북
7144.5,2017,5,전남
7797.9,2017,5,경북
7979.4,2017,5,경남
11414.7,2017,5,제주
22001.1,2017,6,서울
10975.8,2017,6,인천
11513.7,2017,6,경기
11932.8,2017,6,부산
10711.8,2017,6,대구
9609.6,2017,6,광주
9038.7,2017,6,대전
11820.6,2017,6,울산
9018.9,2017,6,세종
7032.299999999999,2017,6,강원
6741.9,2017,6,충북
7504.2,2017,6,충남
7263.299999999999,2017,6,전북
7085.099999999999,2017,6,전남
7863.9,2017,6,경북
8065.2,2017,6,경남
10804.2,2017,6,제주
21690.9,2017,7,서울
10962.6,2017,7,인천
11975.7,2017,7,경기
11926.2,2017,7,부산
12771.0,2017,7,대구
9550.2,2017,7,광주
9035.4,2017,7,대전
11820.6,2017,7,울산
9018.9,2017,7,세종
7081.799999999999,2017,7,강원
6741.9,2017,7,충북
7507.5,2017,7,충남
7243.5,2017,7,전북
7085.099999999999,2017,7,전남
7860.599999999999,2017,7,경북
8134.5,2017,7,경남
11005.5,2017,7,제주
20367.6,2017,8,서울
10800.9,2017,8,인천
12015.3,2017,8,경기
11843.7,2017,8,부산
13180.2,2017,8,대구
9579.9,2017,8,광주
9035.4,2017,8,대전
11820.6,2017,8,울산
9022.2,2017,8,세종
7484.4,2017,8,강원
6765.0,2017,8,충북
7448.099999999999,2017,8,충남
7289.7,2017,8,전북
7306.2,2017,8,전남
8055.299999999999,2017,8,경북
8299.5,2017,8,경남
11005.5,2017,8,제주
21473.1,2017,9,서울
10896.6,2017,9,인천
11972.4,2017,9,경기
11860.2,2017,9,부산
12668.7,2017,9,대구
9718.5,2017,9,광주
9550.2,2017,9,대전
11820.6,2017,9,울산
9101.4,2017,9,세종
7375.5,2017,9,강원
6778.2,2017,9,충북
7448.099999999999,2017,9,충남
7322.7,2017,9,전북
7306.2,2017,9,전남
8015.7,2017,9,경북
8283.0,2017,9,경남
10632.6,2017,9,제주
21707.4,2017,10,서울
10890.0,2017,10,인천
11962.5,2017,10,경기
12285.9,2017,10,부산
12668.7,2017,10,대구
9609.6,2017,10,광주
9005.699999999999,2017,10,대전
11170.5,2017,10,울산
9104.7,2017,10,세종
7520.7,2017,10,강원
6798.0,2017,10,충북
7533.9,2017,10,충남
7200.599999999999,2017,10,전북
7606.5,2017,10,전남
7811.099999999999,2017,10,경북
8038.799999999999,2017,10,경남
10632.6,2017,10,제주
21968.1,2017,11,서울
10890.0,2017,11,인천
11738.1,2017,11,경기
12606.0,2017,11,부산
12071.4,2017,11,대구
9553.5,2017,11,광주
9180.6,2017,11,대전
11134.2,2017,11,울산
9108.0,2017,11,세종
7652.7,2017,11,강원
6854.099999999999,2017,11,충북
7451.4,2017,11,충남
7260.0,2017,11,전북
7883.7,2017,11,전남
7887.0,2017,11,경북
8649.3,2017,11,경남
11748.0,2017,11,제주
22129.8,2017,12,서울
10949.4,2017,12,인천
11936.1,2017,12,경기
12678.6,2017,12,부산
11751.3,2017,12,대구
9556.8,2017,12,광주
8929.8,2017,12,대전
10434.6,2017,12,울산
10431.3,2017,12,세종
7596.599999999999,2017,12,강원
6854.099999999999,2017,12,충북
7778.099999999999,2017,12,충남
7345.799999999999,2017,12,전북
7920.0,2017,12,전남
7887.0,2017,12,경북
8896.8,2017,12,경남
11807.4,2017,12,제주
21855.9,2018,1,서울
10998.9,2018,1,인천
12691.8,2018,1,경기
12678.6,2018,1,부산
11830.5,2018,1,대구
9550.2,2018,1,광주
9055.2,2018,1,대전
10434.6,2018,1,울산
10431.3,2018,1,세종
7669.2,2018,1,강원
6854.099999999999,2018,1,충북
7900.2,2018,1,충남
7345.799999999999,2018,1,전북
7920.0,2018,1,전남
8055.299999999999,2018,1,경북
8896.8,2018,1,경남
11998.8,2018,1,제주
21882.3,2018,2,서울
11028.6,2018,2,인천
12790.8,2018,2,경기
12705.0,2018,2,부산
11101.2,2018,2,대구
9550.2,2018,2,광주
9527.1,2018,2,대전
10474.2,2018,2,울산
10431.3,2018,2,세종
7665.9,2018,2,강원
7147.799999999999,2018,2,충북
7900.2,2018,2,충남
7500.9,2018,2,전북
7774.799999999999,2018,2,전남
8055.299999999999,2018,2,경북
8903.4,2018,2,경남
12635.7,2018,2,제주
22558.8,2018,3,서울
11408.1,2018,3,인천
12790.8,2018,3,경기
12596.1,2018,3,부산
11193.6,2018,3,대구
9669.0,2018,3,광주
9527.1,2018,3,대전
10474.2,2018,3,울산
10431.3,2018,3,세종
7890.299999999999,2018,3,강원
8101.5,2018,3,충북
7900.2,2018,3,충남
7467.9,2018,3,전북
7748.4,2018,3,전남
8052.0,2018,3,경북
8900.1,2018,3,경남
12952.5,2018,3,제주
22575.3,2018,4,서울
11408.1,2018,4,인천
12734.7,2018,4,경기
12747.9,2018,4,부산
11629.2,2018,4,대구
9520.5,2018,4,광주
9807.6,2018,4,대전
10474.2,2018,4,울산
10332.3,2018,4,세종
7514.099999999999,2018,4,강원
8682.3,2018,4,충북
7900.2,2018,4,충남
7646.099999999999,2018,4,전북
7771.5,2018,4,전남
8052.0,2018,4,경북
8877.0,2018,4,경남
12952.5,2018,4,제주
22832.7,2018,5,서울
11338.8,2018,5,인천
13157.1,2018,5,경기
12714.9,2018,5,부산
12048.3,2018,5,대구
9589.8,2018,5,광주
9807.6,2018,5,대전
10474.2,2018,5,울산
10332.3,2018,5,세종
7553.7,2018,5,강원
8698.8,2018,5,충북
8094.9,2018,5,충남
7675.799999999999,2018,5,전북
7774.799999999999,2018,5,전남
8672.4,2018,5,경북
8893.5,2018,5,경남
12952.5,2018,5,제주
22090.2,2018,6,서울
11127.6,2018,6,인천
12959.1,2018,6,경기
12817.2,2018,6,부산
12107.7,2018,6,대구
9900.0,2018,6,광주
9807.6,2018,6,대전
10312.5,2018,6,울산
10332.3,2018,6,세종
7563.599999999999,2018,6,강원
7873.799999999999,2018,6,충북
8141.099999999999,2018,6,충남
7675.799999999999,2018,6,전북
7774.799999999999,2018,6,전남
8682.3,2018,6,경북
8893.5,2018,6,경남
12952.5,2018,6,제주
22506.0,2018,7,서울
11127.6,2018,7,인천
13041.6,2018,7,경기
13035.0,2018,7,부산
12249.6,2018,7,대구
9685.5,2018,7,광주
9698.7,2018,7,대전
10312.5,2018,7,울산
10332.3,2018,7,세종
7629.599999999999,2018,7,강원
7887.0,2018,7,충북
8141.099999999999,2018,7,충남
7698.9,2018,7,전북
7778.099999999999,2018,7,전남
8824.199999999999,2018,7,경북
8896.8,2018,7,경남
11002.2,2018,7,제주
22212.3,2018,8,서울
11031.9,2018,8,인천
13431.0,2018,8,경기
13107.6,2018,8,부산
12295.8,2018,8,대구
9685.5,2018,8,광주
9698.7,2018,8,대전
10312.5,2018,8,울산
10388.4,2018,8,세종
7669.2,2018,8,강원
7887.0,2018,8,충북
8071.799999999999,2018,8,충남
7626.299999999999,2018,8,전북
7778.099999999999,2018,8,전남
8589.9,2018,8,경북
8781.3,2018,8,경남
11002.2,2018,8,제주
23080.2,2018,9,서울
11031.9,2018,9,인천
13510.2,2018,9,경기
13497.0,2018,9,부산
12342.0,2018,9,대구
9672.3,2018,9,광주
11111.1,2018,9,대전
10312.5,2018,9,울산
10388.4,2018,9,세종
7685.7,2018,9,강원
7867.2,2018,9,충북
8071.799999999999,2018,9,충남
7626.299999999999,2018,9,전북
7761.599999999999,2018,9,전남
8721.9,2018,9,경북
9061.8,2018,9,경남
11002.2,2018,9,제주
24347.4,2018,10,서울
11352.0,2018,10,인천
13648.8,2018,10,경기
13318.8,2018,10,부산
12536.7,2018,10,대구
10045.2,2018,10,광주
11055.0,2018,10,대전
9537.0,2018,10,울산
10388.4,2018,10,세종
7778.099999999999,2018,10,강원
7867.2,2018,10,충북
8071.799999999999,2018,10,충남
7659.299999999999,2018,10,전북
7788.0,2018,10,전남
8662.5,2018,10,경북
9223.5,2018,10,경남
11002.2,2018,10,제주
24317.7,2018,11,서울
11724.9,2018,11,인천
13698.3,2018,11,경기
13332.0,2018,11,부산
12622.5,2018,11,대구
10563.3,2018,11,광주
11055.0,2018,11,대전
9537.0,2018,11,울산
10388.4,2018,11,세종
7873.799999999999,2018,11,강원
7811.099999999999,2018,11,충북
7989.299999999999,2018,11,충남
7731.9,2018,11,전북
7715.4,2018,11,전남
8847.3,2018,11,경북
9230.1,2018,11,경남
10936.2,2018,11,제주
24413.4,2018,12,서울
11708.4,2018,12,인천
13777.5,2018,12,경기
13424.4,2018,12,부산
12952.5,2018,12,대구
10837.2,2018,12,광주
12012.0,2018,12,대전
10312.5,2018,12,울산
10081.5,2018,12,세종
7675.799999999999,2018,12,강원
7811.099999999999,2018,12,충북
7969.5,2018,12,충남
7854.0,2018,12,전북
7883.7,2018,12,전남
8847.3,2018,12,경북
9675.6,2018,12,경남
11299.2,2018,12,제주
25080.0,2019,1,서울
11823.9,2019,1,인천
14051.4,2019,1,경기
13424.4,2019,1,부산
13143.9,2019,1,대구
10926.3,2019,1,광주
12173.7,2019,1,대전
10362.0,2019,1,울산
10081.5,2019,1,세종
7784.7,2019,1,강원
7811.099999999999,2019,1,충북
8127.9,2019,1,충남
7854.0,2019,1,전북
7966.2,2019,1,전남
8705.4,2019,1,경북
9675.6,2019,1,경남
11299.2,2019,1,제주
25169.1,2019,2,서울
11847.0,2019,2,인천
14044.8,2019,2,경기
13424.4,2019,2,부산
13160.4,2019,2,대구
10926.3,2019,2,광주
12173.7,2019,2,대전
10362.0,2019,2,울산
10081.5,2019,2,세종
7784.7,2019,2,강원
7550.4,2019,2,충북
